用例ID,优先级,端,屏幕方向,前置条件,操作步骤,预期结果,证据
"ENTRY-001","P0","Mac","不适用","已安装含 MODS 功能的 Mac 目标构建；进入 game_id = steam:322330 的游戏详情；本机已有 2 个安装记录且 1 个启用","查看 MODS 卡片；记录安装数和启用数；点击查看全部","MODS 卡片独立存在；显示本 Mac 的安装数 2 和启用数 1；成功进入 DST MODS 列表；不读取 APP 缓存","页面录屏；Mac LocalModRecord 导出；路由日志"
"ENTRY-002","P0","APP","竖屏和横屏","已安装 APP 目标构建；分别以竖屏和横屏进入 steam:322330 游戏详情","打开更多菜单；点击 MODS；返回后旋转并重复进入","两种方向均从详情进入独立 DST MODS 全屏页；入口名称均为 MODS；不新增一级导航","两种方向页面录屏；路由日志；导航配置快照"
"ISOLATION-001","P0","Mac和APP","全部","MODS 与创意工坊入口均可访问；准备两套本地数据","检查 MODS 的入口、列表、详情、已安装页和全部操作文案；再检查创意工坊状态未被改写","MODS 只出现安装、启用、停用、更新、卸载；不出现订阅或取消订阅；两套入口、数据表和目录互不改写","页面文案清单；两套本地记录和目录前后哈希"
"DEVICE-001","P0","Mac到APP","全部","同一账号登录 Mac 与 APP；两个不同 device_installation_id；目标 MOD 两端均未安装","只在 Mac 点击一次安装并启用；任务结束后在 APP 刷新目录并查看同一 mod_id","Mac 显示已安装且仅此设备；APP 仍显示安装且不自动下载；APP 无 task_id；两个设备状态独立","两端录屏；两端 LocalModRecord；任务列表；网络请求日志"
"DEVICE-002","P0","APP到Mac","全部","同一账号登录 Mac 与 APP；两个不同 device_installation_id；目标 MOD 两端均未安装","只在 APP 点击一次安装并启用；任务结束后在 Mac 刷新目录并查看同一 mod_id","APP 显示已安装且仅此设备；Mac 仍显示安装且不自动下载；Mac 无 task_id；两个设备状态独立","两端录屏；两端 LocalModRecord；任务列表；网络请求日志"
"INSTALL-001","P0","Mac和APP","全部","两端网络、来源和三阶段空间均充足；目标 MOD 无阻塞依赖；声明合法 package_hash","两端各点击一次安装；记录任务从 queued 到 succeeded 的完整时间线","每端同一 task_id 完成下载、package_hash 校验、结构检查、原子安装和文件清单提交；首次安装默认 enabled；无半成品可加载","任务时间线；InstallTransactionLog；版本指针；本地文件清单；mods_install_result"
"INSTALL-002","P0","Mac和APP","全部","目标 MOD 与依赖空间元数据合法；下载前 OS available_capacity_bytes 小于当前阶段 required_new_bytes 加 safety_margin","点击一次安装并观察网络和受控目录","下载前以 STORAGE_INSUFFICIENT 终止；不发起包下载；不创建可被游戏加载的半成品；旧版、存档和用户配置不变","SpaceCheckSnapshot；客户端日志；网络请求计数；staging 与正式目录记录；用户文件哈希"
"ENABLE-DEVICE-001","P0","Mac到APP","全部","目标 MOD 仅在 Mac 安装且当前 disabled；APP 未安装","在 Mac 点击启用；刷新 APP 同一 mod_id；再在 Mac 点击停用","Mac enabled_value 依次为 enabled 和 disabled；APP 始终 not_installed 且不创建任务；启停不跨设备同步","两端 LocalModRecord 前后快照；mods_enable_change；两端录屏"
"ENABLE-DEVICE-002","P0","APP到Mac","全部","目标 MOD 仅在 APP 安装且当前 disabled；Mac 未安装","在 APP 点击启用；刷新 Mac 同一 mod_id；再在 APP 点击停用","APP enabled_value 依次为 enabled 和 disabled；Mac 始终 not_installed 且不创建任务；启停不跨设备同步","两端 LocalModRecord 前后快照；mods_enable_change；两端录屏"
"INSTALL-METADATA-001","P0","Mac和APP","全部","主 MOD 或一个硬依赖缺少 compressed_size_bytes、unpacked_size_bytes、peak_staging_size_bytes 任一字段","分别在两端打开详情并尝试安装","安装门禁返回 SPACE_METADATA_MISSING；按钮不可执行；不创建 task_id；不下载；客户端不猜测空间值","目录响应；门禁日志；任务列表；网络请求计数；LocalModRecord"
